2017-05-30T21:40:14+0000 [-] unauthorized login: 
2017-05-30T21:40:14+0000 [twisted.internet.defer#critical] Unhandled error in Deferred:
2017-05-30T21:40:14+0000 [twisted.internet.defer#critical] 
	Traceback (most recent call last):
	  File "/home/cowrie/cowrie/cowrie-env/local/lib/python2.7/site-packages/twisted/internet/base.py", line 1252, in mainLoop
	    self.runUntilCurrent()
	  File "/home/cowrie/cowrie/cowrie-env/local/lib/python2.7/site-packages/twisted/internet/base.py", line 878, in runUntilCurrent
	    call.func(*call.args, **call.kw)
	  File "/home/cowrie/cowrie/cowrie-env/local/lib/python2.7/site-packages/twisted/internet/defer.py", line 459, in callback
	    self._startRunCallbacks(result)
	  File "/home/cowrie/cowrie/cowrie-env/local/lib/python2.7/site-packages/twisted/internet/defer.py", line 567, in _startRunCallbacks
	    self._runCallbacks()
	--- <exception caught here> ---
	  File "/home/cowrie/cowrie/cowrie-env/local/lib/python2.7/site-packages/twisted/internet/defer.py", line 653, in _runCallbacks
	    current.result = callback(current.result, *args, **kw)
	  File "/home/cowrie/cowrie/cowrie-env/local/lib/python2.7/site-packages/twisted/conch/ssh/userauth.py", line 251, in _ebBadAuth
	    NS(b','.join(self.supportedAuthentications)) + b'\x00')
	  File "/home/cowrie/cowrie/cowrie-env/local/lib/python2.7/site-packages/twisted/conch/ssh/transport.py", line 637, in sendPacket
	    self.transport.write(encPacket)
	exceptions.AttributeError: 'NoneType' object has no attribute 'write'
	
2017-05-30T21:40:34+0000 [cowrie.telnet.transport.HoneyPotTelnetFactory] New connection: 45.76.143.151:41450 (10.8.41.81:2223) [session: TT492]
2017-05-30T21:40:37+0000 [SSHService 'ssh-connection' on HoneyPotSSHTransport,18,91.195.103.185] got channel 'direct-tcpip' request
2017-05-30T21:40:37+0000 [SSHService 'ssh-connection' on HoneyPotSSHTransport,18,91.195.103.185] direct-tcp connection request to 74.125.28.27:25 from localhost:5556
2017-05-30T21:40:38+0000 [cowrie.telnet.transport.HoneyPotTelnetFactory] New connection: 45.76.143.151:34982 (10.8.41.81:2223) [session: TT493]
2017-05-30T21:40:39+0000 [CowrieTelnetTransport,492,45.76.143.151] login attempt: 128
2017-05-30T21:40:39+0000 [CowrieTelnetTransport,492,45.76.143.151] login return, expect: [admin/]
2017-05-30T21:40:40+0000 [CowrieTelnetTransport,492,45.76.143.151] login attempt [admin/] succeeded
2017-05-30T21:40:41+0000 [CowrieTelnetTransport,492,45.76.143.151] Opening TTY Log: log/tty/20170530-214041-None-492i.log
2017-05-30T21:40:41+0000 [CowrieTelnetTransport,492,45.76.143.151] Warning: state changed and new state returned
2017-05-30T21:40:41+0000 [cowrie.telnet.transport.HoneyPotTelnetFactory] New connection: 45.76.143.151:38500 (10.8.41.81:2223) [session: TT494]
2017-05-30T21:40:41+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: enable
2017-05-30T21:40:41+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: enable 
2017-05-30T21:40:41+0000 [CowrieTelnetTransport,492,45.76.143.151] Reading txtcmd from "txtcmds/bin/enable"
2017-05-30T21:40:41+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: shell
2017-05-30T21:40:41+0000 [CowrieTelnetTransport,492,45.76.143.151] Command not found: shell
2017-05-30T21:40:41+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: sh
2017-05-30T21:40:41+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: sh 
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox ECCHI
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] Command found: /bin/busybox ECCHI
2017-05-30T21:40:42+0000 [CowrieTelnetTransport,492,45.76.143.151] CMD: /bin/busybox ps; /bin/busybox ECCHI
